iri,term_localName,label,definition,comments,examples,organized_in,issued,status,replaces,rdf_type,term_iri,abcd_equivalence,flags
http://zooarchnet.org/dwc/terms/version/ChronometricAge-2018-11-08,ChronometricAge,Chronomatric Age,The age of a specimen or related materials that is generated from a dating assay.,,,,2018-11-08,recommended,http://zooarchnet.org/dwc/terms/version/ChronometricDate-2017-11-30,http://www.w3.org/2000/01/rdf-schema#Class,http://zooarchnet.org/dwc/terms/ChronometricAge,not in ABCD,extension
http://zooarchnet.org/dwc/terms/version/chronometricAgeID-2018-11-08,chronometricAgeID,Chronometric Age ID,An identifier for the set of information associated with a ChronometricAge. May be a global unique identifier or an identifier specific to the data set.,,,http://zooarchnet.org/dwc/terms/ChronometricAge,2018-11-08,recommended,http://zooarchnet.org/dwc/terms/version/chronometricDateID-2017-11-30,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://zooarchnet.org/dwc/terms/chronometricAgeID,not in ABCD,extension
http://zooarchnet.org/dwc/terms/version/verbatimChronometricAge-2018-11-13,verbatimChronometricAge,Verbatim Chronometric Age,"The verbatim age for a specimen, whether reported by a dating assay, associated references, or legacy information. For example, this could be the conventional radiocarbon age as given in an AMS dating report. This could also be simply what is reported as the age of a specimen in legacy collections data.",,`27 BC to 14 AD`,http://zooarchnet.org/dwc/terms/ChronometricAge,2018-11-13,recommended,http://zooarchnet.org/dwc/terms/version/verbatimChronometricAge-2018-05-04,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://zooarchnet.org/dwc/terms/verbatimChronometricAge,not in ABCD,extension
http://zooarchnet.org/dwc/terms/version/verbatimChronometricAgeConversionProtocol-2018-11-08,verbatimChronometricAgeConversionProtocol,Verbatim Chronometric Age Conversion Protocol,"The method used for converting the verbatimChronometricAge into a chronometric age in years, as captured in the maximumChronometricAge, maximumChronometricAgeReferenceSystem, minimumChronometricAge, and minimumChronometricAgeReferenceSystem fields. For example, calibration of conventional radiocarbon age or the currently accepted age range of a cultural or geological period.",,,http://zooarchnet.org/dwc/terms/ChronometricAge,2018-11-08,recommended,http://zooarchnet.org/dwc/terms/version/verbatimChronometricAgeConversionProtocol-2018-05-04,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://zooarchnet.org/dwc/terms/verbatimChronometricAgeConversionProtocol,not in ABCD,extension
http://zooarchnet.org/dwc/terms/version/maximumChronometricAge-2018-11-13,maximumChronometricAge,Maximum Chronometric Age,"Upper limit for the age of a specimen as determined by a dating method. The expected unit for this field is years. This field, if populated, must have an associated maximumChronometricAgeReferenceSystem.",,`27`,http://zooarchnet.org/dwc/terms/ChronometricAge,2018-11-13,recommended,http://zooarchnet.org/dwc/terms/version/maximumChronometricAge-2018-05-04,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://zooarchnet.org/dwc/terms/maximumChronometricAge,not in ABCD,extension
http://zooarchnet.org/dwc/terms/version/maximumChronometricAgeReferenceSystem-2018-11-13,maximumChronometricAgeReferenceSystem,Maximum Chronometric Age ReferenceSystem,The reference system associated with the maximumChronometricAge.,,"`kya`, `mya`, `BP`, `AD`, `BCE`",http://zooarchnet.org/dwc/terms/ChronometricAge,2018-11-13,recommended,http://zooarchnet.org/dwc/terms/version/maximumChronometricAgeReferenceSystem-2018-05-04,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://zooarchnet.org/dwc/terms/maximumChronometricAgeReferenceSystem,not in ABCD,extension
http://zooarchnet.org/dwc/terms/version/minimumChronometricAge-2018-11-13,minimumChronometricAge,Minimum Chronometric Age,"Lower limit for the age of a specimen as determined by a dating method. The expected unit for this field is years. This field, if populated, must have an associated maximumChronometricAgeReferenceSystem.",,`14`,http://zooarchnet.org/dwc/terms/ChronometricAge,2018-11-13,recommended,http://zooarchnet.org/dwc/terms/version/minimumChronometricAge-2018-05-04,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://zooarchnet.org/dwc/terms/minimumChronometricAge,not in ABCD,extension
http://zooarchnet.org/dwc/terms/version/minimumChronometricAgeReferenceSystem-2018-11-13,minimumChronometricAgeReferenceSystem,Minimum Chronometric Age Reference System,The reference system associated with the minimumChronometricAge.,,"`kya`, `mya`, `BP`, `AD`, `BCE`",http://zooarchnet.org/dwc/terms/ChronometricAge,2018-11-13,recommended,http://zooarchnet.org/dwc/terms/version/minimumChronometricAgeReferenceSystem-2018-05-04,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://zooarchnet.org/dwc/terms/minimumChronometricAgeReferenceSystem,not in ABCD,extension
http://zooarchnet.org/dwc/terms/version/chronometricAgeUncertaintyInYears-2018-11-13,chronometricAgeUncertaintyInYears,Chronometric Age Uncertainty In Years,"The temporal uncertainty of the maximumChronometricAge and minimumChronometicAge, in years.",,`100`,http://zooarchnet.org/dwc/terms/ChronometricAge,2018-11-13,recommended,http://zooarchnet.org/dwc/terms/version/chronometricAgeUncertaintyInYears-2018-05-04,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://zooarchnet.org/dwc/terms/chronometricAgeUncertaintyInYears,not in ABCD,extension
http://zooarchnet.org/dwc/terms/version/chronometricAgeUncertaintyMethod-2018-11-13,chronometricAgeUncertaintyMethod,Chronometric Age Uncertainty Method,The method used to generate the reported uncertainty calculations.,,,http://zooarchnet.org/dwc/terms/ChronometricAge,2018-11-13,recommended,http://zooarchnet.org/dwc/terms/version/chronometricAgeUncertaintyMethod-2018-05-04,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://zooarchnet.org/dwc/terms/chronometricAgeUncertaintyMethod,not in ABCD,extension
